url,titles,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,book_series,genre,awards,places,average_rating_flo,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com/book/show/42975172-the-testaments,The Testaments,Margaret Atwood,284392,26908,4.20,422,Not found,The Handmaid's Tale  #2,"Young Adult, Fantasy, Science Fiction","Booker Prize (2019), Locus Award Nominee for Best SF Novel (2020), Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2020), Scotiabank Giller Prize Nominee (2019), Audie Award Nominee for Audiobook of the Year (2020), Prometheus Award Nominee for Best Novel (2020), Tähtivaeltaja Award (2020), Goodreads Choice Award for Fiction (2019), Blogistanian Globalia (2019) ","Republic of Gilead,Toronto - Ontario",4.2,8.56,2.2415499999999993
https://www.goodreads.com/book/show/25781.The_Iron_Dragon_s_Daughter,Not found,Not found,0,0,Not found,Not found,Not found,No series found,"Science Fiction, Fiction, Science Fiction",Not found,Not found,0.0,1.0,-5.31845
https://www.goodreads.com/book/show/8488830-freedom,Freedom™,Daniel Suarez,26687,1525,4.27,486,2010,Daemon #2,"Science Fiction, Fiction, Fantasy",Goodreads Choice Award Nominee for Science Fiction (2010),,4.27,8.686,2.3675499999999983
https://www.goodreads.com/book/show/10369932-the-eleventh-plague,The Eleventh Plague,Jeff Hirsch,13521,1892,3.51,278,Not found,,"Fantasy, Fiction, Fantasy",Not found,,3.51,7.318,0.9995499999999986
https://www.goodreads.com/book/show/15746171-linehan-s-trip,Linehan's Trip,Bryan  Murphy,16,4,4.44,Not found,2012,,"Science Fiction, Fiction, Fantasy",Not found,,4.44,8.992,2.6735499999999996
https://www.goodreads.com/book/show/25347016-e,E,Kate Wrath,1096,171,3.88,Not found,2014,E #1,"Fantasy, Urban Fantasy, Fantasy",Not found,,3.88,7.984,1.6655499999999988
https://www.goodreads.com/book/show/22586406-experiment,Experiment,Cyma Rizwaan Khan,36,17,4.17,372,Not found,,"Young Adult, Science Fiction, Science Fiction",Not found,,4.17,8.506,2.187549999999999
https://www.goodreads.com/book/show/24768.Pretties,Pretties,Scott Westerfeld,247057,10652,3.84,370,Not found,Uglies  #2,"Fantasy, Young Adult, Romance",Not found,,3.84,7.912,1.5935499999999987
https://www.goodreads.com/book/show/5931169-santa-olivia,Santa Olivia,Jacqueline Carey,8735,888,3.84,341,Not found,Santa Olivia #1,"Science Fiction, Science Fiction, Cyberpunk",Not found,,3.84,7.912,1.5935499999999987
https://www.goodreads.com/book/show/13414446-prodigy,Prodigy,Marie Lu,232557,17030,4.25,371,Not found,Legend #2,"Fantasy, Fantasy, Urban Fantasy",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013),Nevada,4.25,8.649999999999999,2.331549999999999
https://www.goodreads.com/book/show/33399559-the-gaia-effect,The Gaia Effect,Claire Buss,85,59,4.07,228,Not found,The Gaia Collection #1,"Young Adult, Science Fiction, Romance",Not found,,4.07,8.326,2.0075499999999993
https://www.goodreads.com/book/show/18172279-apocalyptic-empire,Apocalyptic Empire: The Hatchery Compound,Chris   Blake,58,9,3.66,318,2013,,"Science Fiction, Fiction, Science Fiction",Not found,,3.66,7.588,1.2695499999999993
