 titles,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,book_series,genre,awards,places
Station Eleven,Emily St. John Mandel,388293,44829,4.06,333,Not found,,"Fiction, Science Fiction, Science Fiction","Locus Award Nominee for Best SF Novel (2015), Arthur C. Clarke Award (2015), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (Best Foreign Work) (2016), PEN/Faulkner Award for Fiction Nominee (2015), Sunburst Award Nominee for Adult (2015), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015), British Fantasy Award Nominee for Best Horror Novel (August Derleth Award) (2015), NAIBA Book of the Year for Fiction (2015), Toronto Book Award Nominee (2015), The Great Michigan Read (2015), Women's Prize for Fiction Nominee for Longlist (2015), Andrew Carnegie Medal Nominee for Fiction (2015), National Book Award Finalist for Fiction (2014), Goodreads Choice Award Nominee for Fiction (2014), The Rooster -- The Morning News Tournament of Books (2015) ","Toronto - Ontario,Ontario,Canada,…more,Great Lakes region,The United States of America,…less"
Under the Never Sky,Veronica Rossi,113687,8968,3.99,374,2011,Under the Never Sky #1,"Young Adult, Science Fiction, Dystopia","Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)",Reverie
Red Rising,Pierce Brown,293642,28894,4.25,382,Not found,Red Rising Saga #1,"Science Fiction, Fantasy, Young Adult","Goodreads Choice Award for Debut Goodreads Author & Nominee for Young Adult Fantasy & Science Fiction (2014) and Nominee for Best of the Best  (2018), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2014)",Mars
Feed,M.T. Anderson,61203,6878,3.56,308,2002,,"Young Adult, Science Fiction, Science Fiction","Golden Duck Award for Young Adult (Hal Clement Award) (2003), Los Angeles Times Book Prize for Young Adult Literature (2002), Boston Globe-Horn Book Award Nominee for Fiction (2003), National Book Award Finalist for Young People's Literature (2002), Margaret A. Edwards Award (2019)",Not found
Enclave,Ann Aguirre,69088,5130,3.91,259,Not found,Razorland  #1,"Young Adult, Science Fiction, Dystopia","RITA Award by Romance Writers of America for Best Young Adult Romance (2012), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013)",New York (State)
The Martian Chronicles,Ray Bradbury,232740,9149,4.15,182,1950,,"Science Fiction, Fiction, Classics",Analog Award Nominee for All-Time Best Book (1952),Mars
"Alas, Babylon",Pat Frank,42105,3416,4.08,323,1959,,"Fiction, Science Fiction, Apocalyptic",Audie Award for Fiction (2012),"Fort Repose - Florida,Florida,Omaha - Nebraska,…more,Syria,…less"
Utopia,Thomas More,65772,3405,3.55,163,1516,,"Classics, Philosophy, Fiction",Not found,"Antwerp,Utopia"
The Chrysalids,John Wyndham,48170,2588,3.93,200,1955,,"Science Fiction, Fiction, Classics",Złota Sepulka for Książka autora zagranicznego (1985),Labrador
On the Beach,Nevil Shute,38946,2857,3.95,296,1957,,"Fiction, Science Fiction, Apocalyptic",Not found,"Australia,Melbourne - Victoria"
Swan Song,Robert R. McCammon,59822,4034,4.28,956,Not found,,"Horror, Fiction, Apocalyptic","Bram Stoker Award for Best Novel (1987), World Fantasy Award Nominee for Best Novel (1988), Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for Best Translated Novel (1994)","New York City - New York,West Virginia,Kansas,…more,Pennsylvania,Salt Lake City - Utah,Idaho,…less"
The Forever War,Joe Haldeman,151606,6452,4.14,278,1974,The Forever War #1,"Science Fiction, Fiction, War","Hugo Award for Best Novel (1976), Nebula Award for Best Novel (1975), Locus Award for Best Novel (1976), Ditmar Award for Best International Long Fiction (1976)",Not found
